Smiles,CYP1A2,CYP2A6,CYP2B6,CYP2C8,CYP2C9,CYP2C19,CYP2D6,CYP2E1,CYP3A4,St_smi,stratify_col
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1,2.0
O=C1C=C2[C@@H]([C@H]3C(=C)C[C@]4(CC)[C@](O)(C#C)CC[C@H]4[C@@H]3CC2)CC1,,,,,,,,,1.0,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,1.0
c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,2.0
Cc1cccc(C)c1N,,1.0,,,,,,1.0,,Cc1cccc(C)c1N,2.0
Cc1c2ccccc2nc2c1ccc1ccccc12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Cc1c2ccccc2nc2c1ccc1ccccc12,2.0
[OH:1][CH:2]1[CH2:3][N:4]([CH2:5][CH2:6]1)[CH:7]2[CH2:8][CH2:9][CH2:10][CH2:11][CH:12]2[O:13][CH2:14][CH2:15][c:16]3[cH:17][cH:18][c:19]([O:20][CH3:21])[c:22]([O:23][CH3:24])[cH:25]3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,COc1ccc(CCOC2CCCCC2N2CCC(O)C2)cc1OC,1.0
C[C@@H](N/C(=N\C#N)Nc1ccncc1)C(C)(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CC(NC(=NC#N)Nc1ccncc1)C(C)(C)C,1.0
O=C(OCC)O[C@@]1(C(=O)COC(=O)CC)[C@]2(C)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C(=CC(=O)C=C2)CC3)CC1,,,,,,,,,1.0,CCOC(=O)OC1(C(=O)COC(=O)CC)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,1.0
O([C@@H]1[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@](OC)(C)C2)[C@@H](C)C(=O)O[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)N(C)C[C@H](C)C[C@]1(O)C)[C@H]1[C@H](O)[C@@H](N(C)C)C[C@@H](C)O1,,,,,,,,,1.0,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,1.0
CSc1ccc2c(c1)N(CC[C@H]1CCCCN1C)c1ccccc1S2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,8.0
Cc1ccc(O)cc1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Cc1ccc(O)cc1,4.0
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,2.0
Clc1c(C(OCc2c(Cl)cc(Cl)cc2)Cn2cncc2)ccc(Cl)c1,,,,,,,,,1.0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,1.0
COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,5.0
CC(C)/N=C(N)/N=C(\N)Nc1ccc(Cl)c(Cl)c1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CC(C)N=C(N)N=C(N)Nc1ccc(Cl)c(Cl)c1,1.0
CCCCCCCCCCCCC/C=C/C(O)C(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(O[C@]5(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O5)C4O)C3CC(C)=O)C(O[C@]3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(CO)O[C@]4(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O4)O3)C2O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCCCCCCCC,,,,,,,,,0.0,CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(OC5(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O5)C4O)C3CC(C)=O)C(OC3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(CO)OC4(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O4)O3)C2O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCCCCCCCC,0.0
COc1ccccc1C(C)=O,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COc1ccccc1C(C)=O,1.0
COc1ccc(C[C@@H](C)N)cc1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,COc1ccc(CC(C)N)cc1,1.0
[O:1]=[C:2]([c:3]1[cH:4][cH:5][c:6]([O:7][CH2:8][CH2:9][CH2:10][N:11]([CH2:12][CH2:13][CH2:14][CH3:15])[CH2:16][CH2:17][CH2:18][CH3:19])[cH:20][cH:21]1)[c:22]2[c:23]3[cH:24][c:25]([cH:26][cH:27][c:28]3[o:29][c:30]2[CH2:31][CH2:32][CH2:33][CH3:34])[NH:35][S:36](=[O:37])(=[O:38])[CH3:39],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,1.0
